N,m,alpha_index,alpha,replications,batch,seed,fdr,mcse,ci95_lower,ci95_upper,rejection_probability,rejection_probability_mcse,mean_fixed_point_iterations,maximum_fixed_point_iterations
100,16700,11,0.012,100000,20000,30348230,0.01243120755362255,0.00019175864461592915,0.012055367516451114,0.012807047590793987,0.88455,0.001010550827519329,4.67439,50
100,16700,12,0.013,100000,20000,30356149,0.01390290654177935,0.00020674315507020238,0.013497697403791574,0.014308115679767126,0.88973,0.0009905075825050508,4.70148,46
100,16700,13,0.014,100000,20000,30364068,0.014452354955028493,0.00020215499236929147,0.014056138450689712,0.014848571459367273,0.89318,0.0009767778027780934,4.72022,47
100,16700,14,0.015,100000,20000,30371987,0.015325598154765679,0.00020431846719658927,0.014925141317683936,0.015726054991847423,0.89681,0.0009619866106136821,4.73703,42
100,16700,15,0.016,100000,20000,30379906,0.01656193094243938,0.0002134827447966566,0.016143512451317177,0.01698034943356158,0.89935,0.0009514177710133442,4.75555,46
100,16700,16,0.017,100000,20000,30387825,0.017674293466236453,0.00022078775471880903,0.017241557418760125,0.01810702951371278,0.90483,0.0009279691325685353,4.76531,39
100,16700,17,0.018,100000,20000,30395744,0.01863597247181047,0.00022255517037107788,0.01819977235330998,0.019072172590310958,0.90761,0.0009157187772455034,4.7774,45
100,16700,18,0.019,100000,20000,30403663,0.019589166397499587,0.0002265019708039097,0.01914523069229658,0.020033102102702594,0.90968,0.0009064342094162155,4.80836,47
100,16700,19,0.02,100000,20000,30411582,0.02052815440040358,0.00022983498505272477,0.02007768610731294,0.020978622693494223,0.91226,0.0008946602282431025,4.82567,45
100,16700,20,0.021,100000,20000,30419501,0.02195207053669102,0.00024087775023948473,0.021479958821544593,0.022424182251837444,0.91337,0.0008895237101955181,4.83493,48
100,16700,21,0.022,100000,20000,30427420,0.0233963161054156,0.00025089260064357314,0.022904575644166605,0.023888056566664595,0.91786,0.0008682915432042396,4.84961,47
100,16700,22,0.023,100000,20000,30435339,0.02399437742009247,0.00024618764148209914,0.023511858509348695,0.024476896330836242,0.91953,0.0008602010177859593,4.87706,42
100,16700,23,0.024,100000,20000,30443258,0.02505123749753234,0.0002514440891820647,0.024558416138610015,0.025544058856454662,0.91967,0.0008595178363477981,4.90219,47
100,16700,24,0.025,100000,20000,30451177,0.026238104110237172,0.00025797453125830407,0.02573248332004229,0.026743724900432052,0.92235,0.0008462888248110098,4.91554,50
100,16700,25,0.026,100000,20000,30459096,0.026467460681923294,0.0002485209324108686,0.025980368604993677,0.02695455275885291,0.92461,0.0008349032752361196,4.92231,46
100,16700,26,0.027,100000,20000,30467015,0.028134605056554723,0.00026230998757140254,0.027620486928129625,0.02864872318497982,0.92434,0.0008362748615138443,4.95334,46
100,16700,27,0.028,100000,20000,30474934,0.029181536526749322,0.00026464110493630013,0.02866284949224529,0.029700223561253354,0.92848,0.0008148919535742149,4.96726,46
100,16700,28,0.029,100000,20000,30482853,0.030010344901365744,0.0002645192129488464,0.029491896770767124,0.030528793031964364,0.93001,0.000806792413821548,4.98451,46
100,16700,29,0.03,100000,20000,30490772,0.03153464790757692,0.00027746194507740116,0.030990832488144784,0.03207846332700906,0.93169,0.0007977702921267498,5.00945,51
100,16700,30,0.031,100000,20000,30498691,0.03247849753603107,0.00027928234476285726,0.03193111419877797,0.03302588087328417,0.93053,0.0008040144221343298,5.04585,41
100,16700,31,0.032,100000,20000,30506610,0.03360001764619635,0.00028246069525786425,0.03304640485644279,0.034153630435949905,0.93397,0.0007853027384391323,5.04886,47
100,16700,32,0.033,100000,20000,30514529,0.034055038021970324,0.00027514569552999647,0.033515762368230305,0.03459431367571034,0.93551,0.000776730583278398,5.07969,39
100,16700,33,0.034,100000,20000,30522448,0.0354387217964743,0.00028365365877335355,0.034882770841195516,0.03599467275175309,0.93772,0.0007642067887685897,5.08899,43
100,16700,34,0.035,100000,20000,30530367,0.03618264787370568,0.0002833404330003547,0.035627310829661,0.03673798491775036,0.93839,0.0007603565472855484,5.11603,44
100,16700,35,0.036,100000,20000,30538286,0.03768862502188299,0.00029357238623109325,0.03711323371801457,0.03826401632575142,0.93941,0.0007544458356966391,5.14395,43
100,16700,36,0.037,100000,20000,30546205,0.038401018545801,0.0002913772828708937,0.037829929565460906,0.03897210752614109,0.93981,0.0007521114538417825,5.16737,43
100,16700,37,0.038,100000,20000,30554124,0.03919996019371775,0.0002900285315220292,0.03863151471744553,0.039768405669989966,0.94295,0.0007334527762576132,5.18442,50
100,16700,38,0.039,100000,20000,30562043,0.040236862782750675,0.0002898379316851856,0.03966879087529413,0.04080493469020722,0.94412,0.000726343070456379,5.20134,40
100,16700,39,0.04,100000,20000,30569962,0.04157935321423933,0.00029782638738324197,0.040995624221322496,0.04216308220715616,0.94475,0.0007224779408397188,5.23182,42
100,16700,40,0.041,100000,20000,30577881,0.04271546058377223,0.00030293091411656643,0.04212172690229996,0.043309194265244495,0.94458,0.0007235234868337035,5.26344,42
100,16700,41,0.042,100000,20000,30585800,0.043474277772280176,0.0003007941252045514,0.04288473212011802,0.04406382342444233,0.94598,0.0007148555070781785,5.28378,45
100,16700,42,0.043,100000,20000,30593719,0.044785605773369916,0.0003062645994462868,0.04418533818871561,0.04538587335802422,0.94642,0.0007121038098479741,5.32016,41
100,16700,43,0.044,100000,20000,30601638,0.04610360920225782,0.0003120180647615081,0.04549206503279938,0.04671515337171626,0.94836,0.0006998093340332066,5.3314,45
100,16700,44,0.045,100000,20000,30609557,0.04676654207409445,0.0003117447170094498,0.04615553365638529,0.0473775504918036,0.94937,0.0006933008228756112,5.35509,45
100,16700,45,0.046,100000,20000,30617476,0.04768156443844136,0.0003107386932866947,0.0470725277909964,0.04829060108588632,0.95062,0.0006851395157192438,5.37613,47
100,16700,46,0.047,100000,20000,30625395,0.04883117675702528,0.0003150158308745551,0.04821375707395119,0.04944859644009937,0.95151,0.0006792548851498974,5.40638,57
100,16700,47,0.048,100000,20000,30633314,0.05025480113179093,0.00032043820534485135,0.049626753790044366,0.05088284847353749,0.95212,0.000675185201259625,5.42234,41
100,16700,48,0.049,100000,20000,30641233,0.05121032528743463,0.00032401011159146156,0.05057527713808856,0.0518453734367807,0.95257,0.0006721636340951508,5.43911,44
100,16700,49,0.05,100000,20000,30649152,0.05151499717717481,0.00031508373204105307,0.050897444410259875,0.052132549944089744,0.95408,0.000661901454900954,5.46364,49
100,16700,50,0.051,100000,20000,30657071,0.052923818402818325,0.0003212683162255104,0.0522941440736425,0.05355349273199415,0.95488,0.0006563854477363133,5.48814,59
100,16700,51,0.052,100000,20000,30664990,0.05422169767794379,0.00032496418079742387,0.05358477958731528,0.0548586157685723,0.956,0.000648567652600714,5.51246,43
100,16700,52,0.053,100000,20000,30672909,0.05442639289317015,0.000316261023902274,0.053806532676607934,0.05504625310973237,0.95723,0.0006398494127527193,5.51347,56
100,16700,53,0.054,100000,20000,30680828,0.0561885537378162,0.0003301303438023901,0.05554151015375969,0.05683559732187271,0.95715,0.000640420779644134,5.55864,47
100,16700,54,0.055,100000,20000,30688747,0.05723163034430644,0.00033038256113654125,0.05658409242335872,0.05787916826525417,0.95665,0.0006439780858072734,5.58364,51
